validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
1.1336907148361206,0.6168636083602905,0,3907,,
,,0,3907,1.941035270690918,0.3467130661010742
0.6404955983161926,0.7799434065818787,1,7815,,
,,1,7815,1.0402098894119263,0.6200013756752014
0.4732237458229065,0.8320217728614807,2,11723,,
,,2,11723,0.7524707317352295,0.716942310333252
0.3931432366371155,0.8584102988243103,3,15631,,
,,3,15631,0.6244990229606628,0.7624228000640869
0.35546424984931946,0.8691468834877014,4,19539,,
,,4,19539,0.5527793765068054,0.7885634303092957
0.33411678671836853,0.8746300935745239,5,23447,,
,,5,23447,0.5058030486106873,0.8060877919197083
0.30399802327156067,0.88573157787323,6,27355,,
,,6,27355,0.4730524718761444,0.8180277347564697
0.29144495725631714,0.8888565897941589,7,31263,,
,,7,31263,0.4480276107788086,0.827545702457428
0.278619647026062,0.8930482268333435,8,35171,,
,,8,35171,0.4283117353916168,0.834675669670105
0.27605417370796204,0.8934221267700195,9,39079,,
,,9,39079,0.4123837351799011,0.8406857252120972
0.25840994715690613,0.9007267951965332,10,42987,,
,,10,42987,0.3984185457229614,0.8460797667503357
0.25841227173805237,0.8998490571975708,11,46895,,
,,11,46895,0.3865189254283905,0.8504481315612793
0.2493019849061966,0.9025851488113403,12,50803,,
,,12,50803,0.37597423791885376,0.8543988466262817
0.24275612831115723,0.9051933288574219,13,54711,,
,,13,54711,0.36759066581726074,0.85761559009552
0.25266939401626587,0.9009296894073486,14,58619,,
,,14,58619,0.3588919937610626,0.860838770866394
0.2398548126220703,0.9052543044090271,15,62527,,
,,15,62527,0.3517449200153351,0.8634911775588989
0.23481857776641846,0.9076215624809265,16,66435,,
,,16,66435,0.345970094203949,0.8657209873199463
0.23142455518245697,0.9091630578041077,17,70343,,
,,17,70343,0.34007635712623596,0.8678770065307617
0.22566916048526764,0.9105696082115173,18,74251,,
,,18,74251,0.33487826585769653,0.8698961138725281
0.23105013370513916,0.9073826670646667,19,78159,,
,,19,78159,0.3297461271286011,0.871921718120575
0.22105999290943146,0.9123450517654419,20,82067,,
,,20,82067,0.325994610786438,0.8731903433799744
0.22271063923835754,0.9118552207946777,21,85975,,
,,21,85975,0.3217369019985199,0.8749667406082153
0.21931205689907074,0.9136536121368408,22,89883,,
,,22,89883,0.31800732016563416,0.8762953281402588
0.22180552780628204,0.9114473462104797,23,93791,,
,,23,93791,0.3139045834541321,0.8780634999275208
0.22164618968963623,0.9113823771476746,24,97699,,
,,24,97699,0.3107972741127014,0.8791781663894653
0.22096623480319977,0.9121150970458984,25,101607,,
,,25,101607,0.30800768733024597,0.8801408410072327
0.21207325160503387,0.9156020283699036,26,105515,,
,,26,105515,0.3042948246002197,0.8816678524017334
0.22003094851970673,0.9109964966773987,27,109423,,
,,27,109423,0.30207380652427673,0.8823553919792175
0.2120918333530426,0.9151471257209778,28,113331,,
,,28,113331,0.3002099096775055,0.8831506371498108
0.21239922940731049,0.9154110550880432,29,117239,,
,,29,117239,0.29706987738609314,0.8842772841453552
0.2087925672531128,0.9165377020835876,30,121147,,
,,30,121147,0.2947212755680084,0.8851907253265381
0.21444112062454224,0.914638340473175,31,125055,,
,,31,125055,0.2921048700809479,0.8861876726150513
0.20840607583522797,0.9161648154258728,32,128963,,
,,32,128963,0.29024747014045715,0.8867642283439636
0.20301969349384308,0.9187220335006714,33,132871,,
,,33,132871,0.2884305417537689,0.8876969218254089
0.2174070030450821,0.9133357405662537,34,136779,,
,,34,136779,0.2860523462295532,0.8884556889533997
