validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
0.4264851212501526,0.8229466676712036,0,3907,,
,,0,3907,1.2629003524780273,0.5448054075241089
0.30560630559921265,0.8721309304237366,1,7815,,
,,1,7815,0.40033411979675293,0.8342950344085693
0.27764299511909485,0.8847358822822571,2,11723,,
,,2,11723,0.31585460901260376,0.8685110807418823
0.28169554471969604,0.8832763433456421,3,15631,,
,,3,15631,0.2676997184753418,0.8890687227249146
0.251819908618927,0.8963781595230103,4,19539,,
,,4,19539,0.233637273311615,0.9037780165672302
0.2417643815279007,0.9013785719871521,5,23447,,
,,5,23447,0.20993514358997345,0.9136338829994202
0.2513987720012665,0.8983245491981506,6,27355,,
,,6,27355,0.19365929067134857,0.9201393127441406
0.17146745324134827,0.9292126297950745,7,31263,,
,,7,31263,0.1809062659740448,0.9256203174591064
0.19117411971092224,0.9215911030769348,8,35171,,
,,8,35171,0.17113536596298218,0.9295095801353455
0.22364594042301178,0.9097638726234436,9,39079,,
,,9,39079,0.16331617534160614,0.9326543211936951
0.1957111656665802,0.9202275276184082,10,42987,,
,,10,42987,0.1567608118057251,0.9353764057159424
0.3784189224243164,0.8698846101760864,11,46895,,
,,11,46895,0.15122637152671814,0.9376704692840576
0.1633482724428177,0.9337251782417297,12,50803,,
,,12,50803,0.14628247916698456,0.9397730231285095
0.14303795993328094,0.9412828087806702,13,54711,,
,,13,54711,0.14195118844509125,0.9415704607963562
0.14608299732208252,0.9402540922164917,14,58619,,
,,14,58619,0.13834969699382782,0.943088948726654
0.1717604398727417,0.9308820962905884,15,62527,,
,,15,62527,0.1346486210823059,0.9446637034416199
