validation_loss,validation_accuracy,epoch,step,train_loss,train_accuracy
2.66203236579895,0.20952194929122925,0,3907,,
,,0,3907,2.7037532329559326,0.15747585892677307
2.6043853759765625,0.2713201642036438,1,7815,,
,,1,7815,2.650312900543213,0.22193573415279388
2.5669827461242676,0.30726566910743713,2,11723,,
,,2,11723,2.606135368347168,0.2689996659755707
2.534006118774414,0.34016016125679016,3,15631,,
,,3,15631,2.574625253677368,0.3014580309391022
2.5056369304656982,0.368865966796875,4,19539,,
,,4,19539,2.548494577407837,0.3282971978187561
2.4844846725463867,0.3898322582244873,5,23447,,
,,5,23447,2.5266964435577393,0.3503209054470062
2.462204933166504,0.41233906149864197,6,27355,,
,,6,27355,2.5075693130493164,0.3698091506958008
2.441645383834839,0.43303942680358887,7,31263,,
,,7,31263,2.4909400939941406,0.38637611269950867
2.4189975261688232,0.4569627642631531,8,35171,,
,,8,35171,2.473701000213623,0.40389424562454224
2.404529571533203,0.4721778929233551,9,39079,,
,,9,39079,2.4587619304656982,0.41927433013916016
2.3909246921539307,0.48535168170928955,10,42987,,
,,10,42987,2.4463906288146973,0.43155089020729065
2.382962226867676,0.49297523498535156,11,46895,,
,,11,46895,2.436070203781128,0.4417751431465149
2.377432107925415,0.49776771664619446,12,50803,,
,,12,50803,2.4272165298461914,0.45055508613586426
2.3637607097625732,0.5114073753356934,13,54711,,
,,13,54711,2.4189491271972656,0.45859473943710327
